node,y,x,street_count,highway
111415446,41.1589918,-8.6358336,4,
122439068,41.1647122,-8.6270836,4,
126592365,41.1667835,-8.626429,5,
126597343,41.1620091,-8.6325164,4,
126597726,41.1636071,-8.62909,3,
126598827,41.1635081,-8.6274598,4,
128560437,41.1710753,-8.6128402,3,
128566335,41.1718292,-8.6127436,3,
128597080,41.1736115,-8.6058176,4,
287458449,41.1727672,-8.6103785,3,
311889366,41.156824,-8.6369246,3,
311889375,41.153116,-8.6387697,3,
311889445,41.1557405,-8.637468,3,
335562443,41.1614002,-8.6331573,3,
343646688,41.1709494,-8.6112781,3,
343646697,41.1717854,-8.6111674,3,
343646734,41.1675394,-8.6231535,4,
343646735,41.167059,-8.625176,4,
343646737,41.1699895,-8.617606,4,
343646742,41.1688058,-8.6197025,4,
343646751,41.1701197,-8.6174141,3,
343646757,41.1694035,-8.6186548,3,
411504967,41.1737054,-8.6052572,3,
411504977,41.1746799,-8.5997536,4,
411504984,41.1737938,-8.6012643,3,
412248019,41.1758899,-8.600181,3,
412249442,41.1737032,-8.6037698,4,
416007714,41.1729674,-8.6093197,3,
420777494,41.1739145,-8.6008383,3,
428214905,41.1543751,-8.638156,3,
428214906,41.1550394,-8.6378318,3,
428214907,41.1579269,-8.6363835,4,
428216714,41.1562186,-8.6372278,3,
432578781,41.1772548,-8.5995986,3,
474728387,41.1675609,-8.620199,3,
474789304,41.1674924,-8.6214164,3,
479183608,41.1528317,-8.6375345,3,
1216466461,41.1658858,-8.6267246,3,
1216466495,41.1675988,-8.6196285,3,
1243809319,41.159881,-8.6328715,3,
1243809331,41.1605973,-8.6328076,3,
1243809345,41.1605345,-8.6326831,3,
1788788654,41.1669453,-8.6256232,3,
2084090872,41.1736749,-8.6045648,3,
2486710547,41.1726391,-8.6110801,3,crossing
2572799251,41.1586437,-8.633255,5,
2689538408,41.1675325,-8.6205557,3,
3694392908,41.1671682,-8.62473,3,
4455723345,41.1672949,-8.624203,3,
4523960189,41.1778975,-8.5992641,3,
5258500724,41.1711711,-8.6144219,4,
5258500725,41.1718197,-8.6133596,3,
5284452753,41.1585628,-8.633282,4,
9049275537,41.1756882,-8.6001867,3,
10876563844,41.166446,-8.626589,3,crossing
12148105741,41.1634261,-8.6294737,3,
